"ncharacters","pattern_len","time_elapsed"
"1000","7","0"
"2000","7","0"
"3000","7","0"
"4000","7","0"
"5000","7","0"
"6000","7","0"
"7000","7","0"
"8000","7","0"
"9000","7","0"
"10000","7","0"
"11000","7","1"
"12000","7","1"
"13000","7","1"
"14000","7","1"
"15000","7","1"
"16000","7","1"
"17000","7","1"
"18000","7","1"
"19000","7","1"
"20000","7","1"
"21000","7","1"
"22000","7","1"
"23000","7","1"
"24000","7","1"
"25000","7","1"
"26000","7","1"
"27000","7","2"
"28000","7","2"
"29000","7","2"
"30000","7","2"
"31000","7","2"
"32000","7","2"
"33000","7","2"
"34000","7","2"
"35000","7","2"
"36000","7","2"
"37000","7","2"
"38000","7","2"
"39000","7","2"
"40000","7","2"
"41000","7","2"
"42000","7","2"
"43000","7","2"
"44000","7","2"
"45000","7","3"
"46000","7","3"
"47000","7","3"
"48000","7","3"
"49000","7","3"
"50000","7","3"
"51000","7","3"
"52000","7","3"
"53000","7","3"
"54000","7","3"
"55000","7","3"
"56000","7","3"
"57000","7","3"
"58000","7","3"
"59000","7","3"
"60000","7","3"
"61000","7","3"
"62000","7","3"
"63000","7","4"
"64000","7","4"
"65000","7","4"
"66000","7","4"
"67000","7","4"
"68000","7","4"
"69000","7","4"
"70000","7","4"
"71000","7","4"
"72000","7","4"
"73000","7","4"
"74000","7","4"
"75000","7","4"
"76000","7","4"
"77000","7","4"
"78000","7","4"
"79000","7","4"
"80000","7","4"
"81000","7","5"
"82000","7","5"
"83000","7","5"
"84000","7","5"
"85000","7","5"
"86000","7","5"
"87000","7","5"
"88000","7","5"
"89000","7","5"
"90000","7","5"
"91000","7","5"
"92000","7","5"
"93000","7","5"
"94000","7","5"
"95000","7","5"
"96000","7","5"
"97000","7","5"
"98000","7","5"
"99000","7","5"
"100000","7","5"
